title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Get It Together,https://getittogether.laurendenitzio.com/,"A weekly newsletter & subscription series written from a queer-feminist perspective by Lauren Denitzio, artist and songwriter in the band Worriers.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670718393168-GIT_Header_favicon.png?width=75&height=75&resize=contain,False,['music'],2328,True,388,True,22807932,False,,,,#4d8b9f,en,1660063638,6207.6,6,1706202029,True,6fcc92ce-5f88-456d-ac32-142d8b984020
Negative White,https://blog.negativewhite.com/,"Covering the intersection of music, business, and society",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1691084789209-Negative-White-2014---Logo.png?width=75&height=75&resize=contain,False,['music'],513,True,77,True,51381747,False,,,,#DD0505,en,1683871953,1283.3,3,1706763615,True,dccc5d47-9d7e-4e35-9475-c870dd7c3813
Abundant Living,https://zacharylipez.ghost.io/,Don't drag your orchestra into this thing,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1680341820236-image0-4.jpeg?width=75&height=75&resize=contain,False,['music'],1234,True,,False,7256667,False,,,,#000000,en,1680341821,1234,4,1703078186,True,e380ca8d-3ec4-40b8-afc7-7e8098fffe52
Sebastiaan Hooft,https://www.sebastiaanhooft.com/,Experience the pulse of techno with Sebastiaan Hooft's exclusive free weekly newsletter. Gain insights from a respected author and seasoned producer. Elevate your musical journey. Subscribe today!,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1666179254850-Untitled--60---60-px-.ico?width=75&height=75&resize=contain,False,['music'],643,True,0,True,5022417,False,,,,#1C1C1C,en,1660081328,643,41,1706677223,True,edf3edf8-b4ba-4f2e-88f3-0678be5b7ad9
Karaoplay,https://blog.karaoplay.com/,La comunidad de MIDI y karaoke más grande del mundo,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670374738671-favicon-4x.png?width=75&height=75&resize=contain,False,['music'],224,True,0,True,80579538,False,,,,#00bcd4,es,1666157628,224,0,1701266451,False,7e87a10f-d618-469d-91dc-9ac03d0ed188
Piqued,https://piqued.fm/,A platform for electronic music makers and enthusiasts.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1678421123361-logo@4x-1.png?width=75&height=75&resize=contain,False,['music'],67,True,9,True,89837822,False,,,,#000000,en,1678233798,157,3,1705512600,True,95a89ffc-330b-4543-a6b4-69ff2fc682d3
i enjoy music,https://www.ienjoymusic.net/,a blog for people who enjoy music,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1689878258817-i-enjoy-music.png?width=75&height=75&resize=contain,False,['music'],137,True,,False,16238984,False,,,,#636363,en,1689878259,137,7,1706816744,True,d3b7d534-a849-4ebd-89bd-350e4fe9886c
Attack & Flux,https://www.attackandflux.com/,"A song to study and an album to live in, once a week, every week. Turn discovering new music into practice and join me as I use it to unpack my knowledge of self.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1671134035440-A&FIcon.png?width=75&height=75&resize=contain,False,['music'],111,True,,False,124694257,False,,,,#1F1F1F,en,1666046052,111,3,1704673420,True,0f6125a7-e71a-4af3-99f2-b57b15aa911a
Peter Zimon,https://www.peterzimon.com/,"Designer, musician, drums and synth enthusiast writing about building electronic instruments.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1663592148103-pixie-cir-2.png?width=75&height=75&resize=contain,False,['music'],102,True,0,True,92010570,False,,,,#181818,en,1663591991,102,9,1682840616,True,cd9a5f0f-a2d5-4747-bca8-b89d67ec29e8
Daily Records,https://www.auditorymusings.net/,A music blog serving up a daily record recommendation,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668803948168-twitter.png?width=75&height=75&resize=contain,False,['music'],93,True,,False,3994828,False,,,,#ff881a,en,1660071066,93,2,1706526025,True,9fae7e6e-a8a3-4461-9ccc-2b48df60f261
