title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Publishing is Hard,https://www.publishingishard.com/,it really is. occasional thoughts on how to make it survivable and keep from losing your mind in the process.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664974084241-logo-2.JPG?width=75&height=75&resize=contain,False,['literature'],6397,True,,False,8277285,False,,,,#400040,en,1664819271,6397,6,1678813290,True,15736a72-512c-4bcd-b8ba-4b609ac871e8
Gareth's Newsletter,https://gareths-newsletter.ghost.io/,"Writing Advice and book news from award-winning SF and horror novelist Gareth L. Powell, author of the bestselling guide ABOUT WRITING (published by Gollancz). ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704893148416-Adventures-2.png?width=75&height=75&resize=contain,False,['literature'],2310,True,,False,10497574,False,,,,#940606,en,1704402009,2310,0,1706787905,True,64822d9e-2eba-4272-ac58-a24d53e92c81
Draft Mode by Iain Broome,https://www.iainbroome.com/,"Advice, tools and a directory of bookmarks for writers who want to improve their craft and promote their work. ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1669286260628-IMG_1080.jpeg?width=75&height=75&resize=contain,False,['literature'],1739,True,,False,4310465,False,,,,#2e3cff,en,1660061402,1739,3,1668034157,True,290587de-e4e6-4d86-85ae-c0d3a31d833c
Short Reads,https://www.short-reads.org/,"Flash nonfiction, emailed every Wednesday.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1690502074258-Donkey_head_blue-3.png?width=75&height=75&resize=contain,False,['literature'],1400,True,,False,14384770,False,,,,#3a58f4,en,1681910749,1400,21,1706868901,True,1a215752-a056-4b70-8888-c45e6950dada
Arcastar,https://arcastar.com/,"Newsletter semanal con contenido sobre la vida y obra del filológo y autor J.R.R. Tolkien: El Señor de los Anillos, Silmarillion e Historia de la Tierra Media. ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1706119607205-arca-color-1.png?width=75&height=75&resize=contain,False,['literature'],1198,True,,False,139628838,False,,,,#964dff,es,1706119608,1198,0,1705164167,True,25374674-c320-4718-b237-d22a2a708344
The Queer Writer,https://www.thequeerwriter.milotodd.com/,Curated content and advice for LGBTQ+ writers.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1694302947172-Transparent-Foxy-1.png?width=75&height=75&resize=contain,False,['literature'],267,True,82,True,7721320,False,,,,#ff5e1a,en,1694302948,1083.4,3,1706792409,True,af63e834-a53c-4a9d-a132-cbf1152824fe
Nova Nevedoma,https://www.nova-nevedoma.com/,"Literary anarchy and magic degeneracy. Fiction, stories, narratives, plots (sometimes), arts, memology, schizomaxxing, and transmutation of words.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1698319656067-image-from-rawpixel-id-6756240-svg-2.svg?width=75&height=75&resize=contain,False,['literature'],376,True,,False,6582978,False,,,,#000000,en,1681031358,376,2,1705962420,True,358e0f75-8fb4-46bd-a9d6-604cccf2143b
La Patience,https://news.saidwords.org/,"Des réflexions sur l'écriture, l'édition, le Libre, la création... avec SAÏD, auteur de science-fiction. Un lundi sur trois dans votre boîte mail.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1697526001513-rect25319-1.png?width=75&height=75&resize=contain,False,['literature'],117,True,,False,109460734,False,,,,#86bbd8,fr,1697526002,117,0,1706565662,True,bbf42ae4-026c-4536-89f4-1950c7065f1c
Writerion,https://zdenkakollarova.ghost.io/,O písaní a všetkom okolo ,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1666411301036-letters-451533_1920.jpg?width=75&height=75&resize=contain,False,['literature'],102,True,,False,99450698,False,,,,#e41aff,en,1666357683,102,6,1701092684,True,d2fb58d0-1d68-42f8-8c48-60793ee52de7
Literatureandcriticism.com,https://www.literatureandcriticism.com/,"Theory, Literature and Criticism",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1700913180146-Untitled-design.png?width=75&height=75&resize=contain,False,['literature'],79,True,0,True,10499917,False,,,,#000000,en,1676297686,79,49,1706396158,True,f4f0e0ff-492e-427c-aea1-cbdf3ddd2bf8
Les Archives de Houellebecq,https://houellebecq.xyz/,"les archives de houellebecq de 1991 à nos jours · interventions, entretiens & rencontres",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1661513664946-re-duit.png?width=75&height=75&resize=contain,False,['literature'],48,True,2,True,41926868,False,,,,#4d4d4d,fr,1660059290,68,2,1689325242,False,44c05f75-257a-40b6-96b1-60edf36c95e6
Inkwell,https://www.inkwell.today/,Our publications are dedicated to educating and empowering authors of all genres and experience levels.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1703489694345-Inkwell-3.png?width=75&height=75&resize=contain,False,['literature'],57,True,,False,10499940,False,,,,#C5262A,en,1693832933,57,0,1706534701,True,fd037d00-7cd5-49ff-b1ee-a15b9e72154e
Sienna Eggler,https://www.siennaeggler.com/,More at home with the supernatural than the mundane. PNR and SFF author blog.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660478659711-noun_Fox_1486590.png?width=75&height=75&resize=contain,False,['literature'],55,True,,False,1144362,False,,,,#008080,en,1660478660,55,0,1706787020,True,fef5b602-18ec-4b9a-9ccf-c9ab9486a503
Ramble Communications,https://www.ramble.com.au/,"I'm Lyndall and I'm a writer, editor and content designer. I write about life, creativity, reading and writing. I take on freelance projects, and I'm working on a novel as well. ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1663723680211-RambleComms_RGB_social.fw-4.png?width=75&height=75&resize=contain,False,['literature'],50,True,,False,40839432,False,,,,#8D2A3D,en,1663723684,50,2,1705532453,True,106e3479-a152-452d-a9ef-abaa09f997d0
Prose & Pumpkins,https://www.proseandpumpkins.com/,Prose & Pumpkins is a cozy publication by Vanessa Perry to cover topics such as speculative fiction and writing.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704848674853-FF49E9EA-5785-4A71-B53E-40BB75E41AD8-1.PNG?width=75&height=75&resize=contain,False,['literature'],39,True,0,True,10499959,False,,,,#d88241,en,1704397164,39,1,1704893610,True,ebe06e92-9ae5-4662-bc3f-f7ff486b4047
JAKE,https://jakethemag.com/,The Anti-Literary Magazine,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1695337038297-JAKE-Rainbow-1.jpg?width=75&height=75&resize=contain,True,['literature'],36,True,0,True,1140326,False,,,,#C14420,en,1695336846,36,0,1706806811,True,ea4a4de6-913a-46f1-8648-4e777575b8ce
Isaac Lewis,https://ike.io/,"Collected clippings, travel writing, poetry, essays, and music.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1676411090221-ships-wheel.png?width=75&height=75&resize=contain,False,['literature'],33,True,,False,5538578,False,,,,#26a269,en,1671060218,33,2,1688663535,True,f971abea-721b-49eb-9c05-633ebc5a0593
EN VERSALITAS,https://www.enversalitas.com/,"Literatura infantil y juvenil leída con amor y analizada con perspectiva de género. #LIJ, #coeducación, #género y #libros.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1684521480382-notion-avatar-1681293556617.png?width=75&height=75&resize=contain,False,['literature'],28,True,0,True,10499970,False,,,,#0fbab7,es,1681907816,28,15,1706816869,True,1da041ce-25d0-4227-bdf0-7875eaa84548
Signes,https://signes.xyz/,Découvrez chaque mois de nouveaux auteurs et des textes inédits sur s i g n e s. Soutenez la littérature indépendante.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1661513537694-logo-1.gif?width=75&height=75&resize=contain,False,['literature'],8,True,2,True,67854317,False,,,,#000000,fr,1660059379,28,0,1666539343,False,a448cd7a-2793-4be9-9a2a-a83f2d680ca3
Déréalisation,https://derealisation.xyz/,littérature expérimentale par bastien rivath,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1661513818255-Papillon_calque_bleu-4.webp?width=75&height=75&resize=contain,False,['literature'],12,True,1,True,158193549,False,,,,#002BFF,fr,1660059413,22,2,1706742225,False,16fd1a7d-8b99-484f-853a-683616b5405e
