title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Tangle,https://www.readtangle.com/,"Summarizing the best arguments from across the political spectrum. 100% independent, ad-free, and non-partisan.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/tanglebrain.png?width=75&height=75&resize=contain,False,"['politics', 'news']",111377,True,64K,True,1031714,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/tangle.jpg,#fff,#0040ff,#0040ff,en,1659639201,753717.6,3555,1706892923,True,4ad84b4f-0231-4647-8a2c-ba2a527089fa
The Lever,https://www.levernews.com/,Award-winning journalist and Oscar-nominated writer David Sirota conducts investigative journalism about holding people and corporations manipulating the levers of power accountable.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660696003354-LEVERFavicon-BorderWhite.png?width=75&height=75&resize=contain,False,"['politics', 'news']",106077,True,,False,-76049,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/thelever.jpeg?width=600&height=426&resize=cover,#ffffff,#323A57,#333333,en,1658238420,106077,726,1706873412,True,770bf2a2-a29d-4344-bd1d-ddc718a9c585
Welcome to Hell World,https://www.welcometohellworld.com/,"“Luke O’Neil’s Welcome To Hell World is a vital and despairing collection of essays on modern American life.”
-Longreads",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682868044156-hell%20world%20logo.jpg?width=75&height=75&resize=contain,False,['politics'],24235,True,9K,True,1626395,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/hellworld_feature.webp?width=600&height=426&resize=cover,#15171A,#E0DCC7,#c1ba8a,en,1660057872,115439.6,400,1706883855,True,f8e046f2-c086-4164-a38d-ca3535a24471
The Maple,https://www.readthemaple.com/,Canada's top independent news publication for reporting and perspectives you won't find in the corporate media.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682119405512-icon%20logo.png?width=75&height=75&resize=contain,False,['politics'],67677,True,,False,65449,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/themaple.png?width=600&height=426&resize=cover,#ffffff,#A52640,#990f3d,en,1658238539,67677,309,1706811634,True,9fe425b4-d03b-4a47-9f08-1810d62d6f81
Luật Khoa tạp chí,https://www.luatkhoa.com/,"An independent and nonprofit Vietnamese-language magazine focusing on Vietnam's legal and political affairs, including human rights. We say no to censorship and self-censorship.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1662045558456-Logo-LK-Square.png?width=75&height=75&resize=contain,False,['politics'],12339,True,,False,315601,False,,,,#883a1d,en,1662045560,12339,38,1706866382,True,da82af1a-debe-42d8-98be-6a2309cca0eb
麻麻呼呼,https://mamayahuhu.com/,致力推動於大麻合法化運動，並親身體驗及分享經驗，科普法普攻略網站,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1676673616633-1676673568431-avatar@2x-3.png?width=75&height=75&resize=contain,False,['politics'],995,True,1K,True,390185188,False,,,,#006636,zh-hant,1676673569,11494.2,13,1706514287,True,f85d6d00-1ec6-490b-a485-8b96358a7857
Forward Kentucky,https://forwardky.com/,The progressive voice for Kentucky politics,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1694231649205-EtsyIcon.png?width=75&height=75&resize=contain,False,['politics'],824,True,878,True,744548,False,,,,#162fac,en,1671543099,9605.1,171,1706904706,False,1f5a6e65-61b1-4456-9ede-444b197c429c
Unprecedented,https://unprecedented.ghost.io/,For people who care that democracy's bleeding to death and the planet's on fire.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682472375432-TDE%20logo.png?width=75&height=75&resize=contain,False,['politics'],4887,True,,False,3094390,False,,,,#212fd2,en,1682472376,4887,10,1706885363,True,f1435b8d-5095-4a55-9c66-0218b8e8ffcd
The Lorem Ipsum,https://www.danielkherndon.com/,"A Funny Email About Serious Topics. It’s your source for news, politics, and humor, written by Daniel Herndon in the USA.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682105947634-Icon-1.png?width=75&height=75&resize=contain,False,['politics'],4061,True,,False,4728551,False,,,,#28A99D,en,1658238539,4061,135,1706873403,True,3965d8f0-9cbb-442c-adaf-a84b49495140
THE GENEVA OBSERVER,https://www.thegenevaobserver.com/,Locally international,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1677613847726-the-geneva-observer-logo-1.png?width=75&height=75&resize=contain,False,['politics'],3591,True,,False,3490850,False,,,,#ffcb41,en,1677613848,3591,103,1706858675,True,8eb81970-663a-4248-81f8-88c2683183ec
Arete News,https://www.aretenews.com/,"Conceived in Geneva’s hub of multilateralism, Arete News provides independent, accurate coverage of the world’s leading international organizations.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668115923335-index.png?width=75&height=75&resize=contain,False,['politics'],2990,True,,False,13241841,False,,,,#1858a0,en,1668115927,2990,0,1706731140,True,ef8b9a46-c4ce-4065-8c2e-5a9b57b09e17
Lauren Razavi,https://lraz.io/,"I work as Executive Director at SafetyWing, where I lead the Plumia mission to build a country on the internet. My website covers remote work, digital nomads, borderless living and internet countries.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668840597221-Lauren_Razavi_2022_cropped.jpg?width=75&height=75&resize=contain,False,['politics'],2868,True,,False,1805895,False,,,,#000000,en,1668840182,2868,12,1702114416,False,75a6d662-cfcc-45fa-8822-4db1956984ce
UBI Guide,https://www.scottsantens.com/,The home of author and long-time advocate of unconditional universal basic income (UBI) - Scott Santens,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670884118743-favicon.ico?width=75&height=75&resize=contain,False,['politics'],2768,True,,False,477596,False,,,,#000000,en,1670884121,2768,4,1706037303,True,c0fc403e-1700-4e7a-9d8e-108b61d6e601
Culture Wars,https://www.culturewars.it/,"La newsletter sugli scontri di civiltà al tempo degli algoritmi, per parlare di ciò di cui non si riesce a parlare sui social. Di Davide Piacenza.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1678398341236-Progetto-senza-titolo--13-.png?width=75&height=75&resize=contain,False,['politics'],2571,True,,False,3928771,False,,,,#ff1a75,it,1678398342,2571,0,1706854228,True,266a353c-b808-476e-8e00-3f684239ba4e
Blogs of War,https://blogsofwar.com/,"Covering the convergence of intelligence, tech, and conflict since 2002.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1666576636379-BoW-2022-Twitter-Avatar-1-.png?width=75&height=75&resize=contain,False,['politics'],2265,True,,False,46182,False,,,,#15171A,en,1666576509,2265,10,1697297386,True,1c834604-ce31-4f79-9624-d1b4f14f7bf6
What They're Not Tellin' You,https://www.libertyweekly.club/,Let it not be said we did nothing.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1691978741877-e062bf6f-67ea-4b53-ba6b-23dcf08bdfbe.png?width=75&height=75&resize=contain,False,['politics'],625,True,93,True,5843765,False,,,,#fe0c0a,en,1691454520,1557.9,2,1697750204,True,47c0b69b-5abf-42fa-9128-51a361c543a9
Тоест,https://www.toest.bg/,"Независима онлайн медия, която публикува само авторски анализи и коментари по значими за обществото в България теми и се финансира основно чрез дарения от своите читатели.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1677331405627-1677331360493-1677331317596-1676707630760-logo-toest_white-on-red_400.jpg?width=75&height=75&resize=contain,False,['politics'],1002,True,,False,875022,False,,,,#D95B64,bg,1676707631,1002,2,1706856974,True,029eedcf-cc3d-4f16-a5a5-99bb286d5fac
Quinn Mitchell,https://www.quinnjamesmitchell.com/,This podcast is talking about my experiences in the New Hampshire primary greeting and asking different presidential candidates questions.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693505842922-Orange-and-Black-Simple-Photo-Podcast-Cover--2--2.png?width=75&height=75&resize=contain,False,['politics'],803,True,,False,93142570,False,,,,#ffffff,en,1693505844,803,2,1705863455,True,25a8ee7a-eed4-49f1-9a40-5e8d74c45e21
Amalgama,https://amalgama.ghost.io/,"Materiales y reflexiones en la intersección de la política, el clima y la economía.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1667215198675-albers-section.jpg?width=75&height=75&resize=contain,False,['politics'],572,True,,False,10514585,False,,,,#3f0fb7,es,1667215199,572,13,1674460840,True,f2a570bf-ca36-4c1a-bd57-1fe56154e626
The Kigalian,https://www.kigalian.com/,"It's not ""news"" – it's what's leading and what's coming. Our mission is to drive people to look ahead.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1698922203264-kigalian-icon-gradient-red-blue.png?width=75&height=75&resize=contain,False,['politics'],551,True,,False,16483208,False,,,,#337DD4,en,1663695357,551,1,1706458175,False,16e05685-e055-448d-b7b7-9f7322123162
ALGINKGO,https://omarzaid.com/,"TRUTH ABOUT RELIGIONS, CULTS, OCCULT, HISTORY, and MORE",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1683045876460-Ginkgo-Leaf.png?width=75&height=75&resize=contain,False,['politics'],437,True,,False,31224649,False,,,,#ffba00,en,1683045877,437,0,1690756806,True,2f9c3ff3-aa06-4c29-bb11-bd229f86720a
olten jetzt!,https://olten.jetzt/,politik für ein lebendiges und attraktives olten,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1702207565001-favicon.png?width=75&height=75&resize=contain,False,['politics'],406,True,,False,2517102,False,,,,#2e124a,de,1702207566,406,4,1706468645,True,8e283e37-b3b4-49ad-8d81-e852f76652d4
The Vietnamese Magazine,https://www.thevietnamese.org/,An independent and nonprofit English-language magazine focusing on Vietnam's politics. We say no to censorship and self-censorship.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1662045340255-The-Vietnamese-square-logo.png?width=75&height=75&resize=contain,False,['politics'],351,True,,False,726502,False,,,,#000000,en,1662045342,351,1,1706754633,True,dec87a9f-1a26-433f-8c85-0db7798b91f7
World-Weary,https://www.world-weary.com/,"Your weekly activist newsletter. Stay informed about real issues that are hurting real people and learn how to become part of the solution.
",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682720523946-World-Weary-Writer-Logo.png?width=75&height=75&resize=contain,False,['politics'],147,True,16,True,791642,False,,,,#0c0307,en,1682720524,308.6,82,1706702453,True,185cdcb9-65a4-4337-8e0d-66c24a1b2579
"Hacking, but Legal",https://jackie-singhs-newsletter.ghost.io/,"Cybersecurity expert Jackie Singh covers provocative topics at the intersection of Culture, Politics, and Technology.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1665850064359-hpiZcz04_400x400.jpg?width=75&height=75&resize=contain,False,['politics'],273,True,,False,9999727,False,,,,#0065d1,en,1665850065,273,0,1692162885,True,eb91f33c-2172-43e7-9d40-74a6ea79ff98
American Book Club,https://americanbookclub.org/,Primary source supremacy.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699667462052-favicon-128.png?width=75&height=75&resize=contain,False,['politics'],38,True,23,True,169178968,False,,,,#ff1a1a,en,1699667463,271.2,163,1705006095,False,eb6ff6ef-e48a-4cad-b73e-e43b4a31fda0
Body Politic by Susan Rinkunas,https://www.susanrinkunas.com/,A blog about bodily autonomy and the people and powers that shape it.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704051336907-uterus-v-gun-square.png?width=75&height=75&resize=contain,False,['politics'],0,False,23,True,10499975,False,,,,#d07aef,en,1704051337,233.1,30,1706733017,True,14449839-17e5-41a4-890b-91abaf601636
what we could become,https://what-we-could-become.ghost.io/,"an evolving, abolitionist freedom dream.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704055247326-wwcb-busy.png?width=75&height=75&resize=contain,False,['politics'],110,True,,False,10631388,False,,,,#df8f6d,en,1704055248,110,0,1703800796,True,134e2ed5-f3c6-4d50-9eee-321cc4375a88
Wortgucker,https://www.wortgucker.de/,"Pflanzenschutzmittel oder Pestizid? Aktivist oder Terrorist? Bilder, Kurztexte und Analysen mit Sprachkritik aus Politik und Medien.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1667861903448-wortgucker-logo.jpg?width=75&height=75&resize=contain,False,['politics'],86,True,0,True,7341453,False,,,,#15171A,de,1667861904,86,0,1667853062,True,5a79428e-7cb3-4042-9768-71bc09988811
The Digital Patriot,https://www.thedigitalpatriot.com/,Enter the colosseum of ideas.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682529048311-tdplogo.png?width=75&height=75&resize=contain,False,['politics'],69,True,,False,823173,False,,,,#b20a0a,en,1682529049,69,2,1685864335,True,c4ad5d4e-38ab-4906-af77-4cdac568df03
