title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
The Browser,https://thebrowser.com/,"Every day we read hundreds of articles and recommend five outstanding stories for you to enjoy, so you'll always have interesting things to ponder and fascinating ideas to discuss at dinner",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1659688839744-giraffe.png?width=75&height=75&resize=contain,False,['culture'],155454,True,,False,-94918,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/thebrowser (1).png?width=600&height=426&resize=cover,#15171A,#F3DF91,#ea7600,en,1659688841,155454,128,1706825799,True,74049d58-9368-430f-999d-36ef445840a6
Desk Magazine,https://vanschneider.com/blog/,"Founded by award-winning designer Tobias Van Schneider in early 2016 to cover stories of design, psychology and productivity. One of the few design blogs that's actually written by designers.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/desk.png?t=2022-07-19T12%3A45%3A57.795Z?width=75&height=75&resize=contain,False,['culture'],0,False,,False,1076823,True,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/desk.jpeg?width=600&height=426&resize=cover,#15171A,#C8A7C4,,en,1658238420,0,0,1641427200,True,ce537cad-9036-41ff-9ced-9c35f61b3b3b
Quillette,https://quillette.com/,"Edited in Sydney, London, and Toronto. Quillette was founded by Australian journalist Claire Lehmann, and publishes high quality long reads on diverse topics, daily. ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1680737013634-Instagram-tiles-1.png?width=75&height=75&resize=contain,False,['culture'],110771,True,47K,True,-156386,False,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/object/public/images/quillette (1).png?width=600&height=426&resize=cover,#15171A,#C4D9A6,#1C938B,en,1658238539,578734.2,902,1706850028,True,a18e1a96-4ed8-4199-8a86-03c289df6039
Soft Launch London,https://www.softlaunchlondon.com/,"We keep an eagle eye on all upcoming London restaurant openings and find the best deals to send to our subscribers - for free, because we're nice like that.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660132788358-apple-touch-icon.png?width=75&height=75&resize=contain,False,['culture'],54795,True,,False,5563467,False,,,,#0433ff,en,1660132538,54795,1005,1706804701,True,40d96b2f-37a0-42ff-87d9-ced6b2e2bd9c
Motorsport Hackers,https://motorsport-hackers.ghost.io/,"if you are, you aren't from the other side. you know that you knew it",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1689950249849-1-co-pia-2.png?width=75&height=75&resize=contain,False,['culture'],16962,True,,False,9983038,False,,,,#ff1a75,en,1689950250,16962,0,1689951043,True,e50270b2-6903-4df1-93a2-c77ab9b15b5c
QueerAF,https://www.wearequeeraf.com/,"Understand the LGBTQIA+ 🏳️‍🌈 news. Skip the doom scrolling but stay on top of the latest queer content, perspectives and headlines",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1663349188116-AF--1-.png?width=75&height=75&resize=contain,False,['culture'],2454,True,1K,True,682301,False,,,,#F10E4A,en,1660321290,15374.528,21,1706796031,True,2ba5956e-756c-4234-b685-f8977f8c1d3b
Weekly Filet,https://newsletter.weeklyfilet.com/,"Make sense of what matters, today and for the future. Every Friday, carefully curated recommendations on what to read, watch and listen to. Trusted by thousands of curious minds, since 2011.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1698650668278-wf-icon.png?width=75&height=75&resize=contain,False,['culture'],5301,True,788,True,20167934,False,,,,#854443,en,1659637127,13176.4,14,1706857781,True,7cb0f827-db66-4555-bf6e-b95d39c1ba18
Signals,https://signals.mysteryleague.com/,"a community and newSletter for folks who love pUzzles. weekly emails feature original puzzles (Both Simple and Complex), solving tips, news about the puzzle woRld, and orIginal articlEs. ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660074842889-monogram_TML.jpg?width=75&height=75&resize=contain,False,['culture'],6065,True,681,True,1721737,False,,,,#3a668c,en,1660066043,12871,46,1706715418,False,ff527e6a-b602-47a9-936a-3b0bd196f020
So Sumi,https://www.goaheadsumi.com/,"Reviews, interviews and features about Toronto's performing arts scene by Glenn Sumi",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1683981427531-glenn_sumi-cropped-1.jpg?width=75&height=75&resize=contain,False,['culture'],1251,True,566,True,26673250,False,,,,#1a66ff,en,1683981428,6910.856,3,1706398090,True,14421b96-ea32-4aaf-a7b3-70491f10c425
Arcade from Koffler Centre of the Arts,https://arcade.kofflerarts.org/,An ongoing inquiry into the art and ideas of our time. Published by the Koffler Centre of the Arts.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1691701275211-arcade-fav.svg?width=75&height=75&resize=contain,False,['culture'],4065,True,,False,27035058,False,,,,#DA322A,en,1691701276,4065,13,1703255448,True,34117491-9f80-4f6b-b27c-976b8939a0b5
