title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Inspire,https://inspire.savee.it/,Stories and ideas on how we are building SAVEE to be the best place for inspiration.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693465933119-apple-icon-180x180.png?width=75&height=75&resize=contain,False,['productivity'],990519,True,,False,5527171,False,,,,#2E36FF,en,1693465933,990519,5903,1703892288,False,41c8847a-e002-4ee9-a0f9-1d1289330e87
SpatialChat Center,https://how.spatial.chat/,Enjoyable video meeting experience,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1696250113264-android-chrome-192x192-1.png?width=75&height=75&resize=contain,False,['productivity'],241516,True,,False,6972670,False,,,,#5727e7,en,1696250114,241516,0,1701076537,False,5dee8e02-ea73-4570-b4c2-10adb4495db5
Mailman Blog,https://blog.mailmanhq.com/,Everything about productivity and building in public.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1692608509877-favicon.png?width=75&height=75&resize=contain,False,['productivity'],8312,True,,False,6118335,False,,,,#7048e8,en,1692608511,8312,5,1705657982,True,50565fb5-ba53-47bb-bd8b-9aeecfac68f7
Jeff Su,https://www.jeffsu.org/,I'm Jeff. I'm a full-time Product Marketer and a part-time YouTuber. Come for the productivity tips and stay for the sarcastic comments,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660495980353-89KB-1.png?width=75&height=75&resize=contain,False,['productivity'],6910,True,,False,7170170,False,,,,#15171A,en,1660495981,6910,7,1706835631,True,03ec6455-9ce5-4207-aff7-01dc52f46682
Cultivating Resilience,https://www.jasonshen.com/,"Each week, serial founder & executive coach Jason Shen explores new ways we can build, adapt, and lead in the face of change.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660142011074-jason-shen-icon-3.png?width=75&height=75&resize=contain,False,['productivity'],4008,True,,False,681904,False,,,,#0b4f84,en,1660142012,4008,7,1706393709,True,a79f8ba5-5952-4260-8beb-619da05bfefe
Creativerly,https://creativerly.com/,"A publication about creativity and productivity-boosting tools. Learn through interviews with creators & creative minds, and get insights into features and workflows through app & tool deep dives. ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660649031568-Ghost-Publication---Icon---Black.png?width=75&height=75&resize=contain,False,['productivity'],2285,True,,False,2630971,False,,,,#3D515B,en,1660648990,2285,4,1706464848,False,d0dc13a7-48c5-435a-8da8-06ac5cee90b7
Rabbit Ideas,https://newsletter.rabbitideas.online/,A carefully curated selection of the most useful online resources for self-improvement and productivity. Every Sunday in your inbox.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673261642653-gg99605232-removebg-preview.png?width=75&height=75&resize=contain,False,['productivity'],1665,True,,False,15652394,False,,,,#ffa550,en,1672688737,1665,2,1706792461,True,1c1bb1b1-9ab8-4880-864d-2faa2e79c347
Vasili Shynkarenka,https://vasilishynkarenka.com/,"Entrepreneur, writer. Prev: Storyline (YC W18). Working towards Tomorrowland.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660644780845-image.png?width=75&height=75&resize=contain,False,['productivity'],1309,True,,False,1990991,False,,,,#15171A,en,1660644782,1309,3,1694012759,True,ddb7e8e5-e499-4354-84d7-ff51c0dd9c97
Daily Productivity Sharing,https://letters.acacess.com/,One Useful Tip Per Day!,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699608278343-Potter_A_website_icon_with_minimal_and_modern_design_that_conta_732c1292-7305-4914-8656-a10d0b90ed89.jpg?width=75&height=75&resize=contain,False,['productivity'],986,True,,False,22670655,False,,,,#9437ff,"cn, en",1660273376,986,0,1706832036,True,4480acc3-9255-4a6e-bf21-d57e685611ab
To-Do Templates,https://todotemplates.com/,"Actionable checklists for work and life, from daily habits to long-term goals.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1661193321930-logo-with-checkbox-sq.png?width=75&height=75&resize=contain,False,['productivity'],962,True,,False,8113136,False,,,,#e00047,en,1661193322,962,9,1660938335,True,f8f35e33-ce42-41c9-81a2-30a133b7c9bf
