title,site_url,description,publication_icon,nsfw,categories,member_count,show_member_count,mrr,show_mrr,ghost_rank,featured,feature_image,text_color,bg_color,accent_color,lang,created_at,mrr_members_rank,mrr_members_diff_rank,updated_at,showIframe,objectID
Hit Points by Nathan Brown,https://newsletter.hitpoints.co/,"A newsletter about video games and the game industry, from writer, consultant and former Edge editor Nathan Brown",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705772190887-Tiny-Hit-Points-logo2-clear.png?width=75&height=75&resize=contain,False,['gaming'],9034,True,,False,10490514,False,,,,#556b2f,en,1705772129,9034,161,1706893249,True,3e06fda6-9002-49de-a773-6edc7e3a5205
Levelling The Playing Field,https://ltpf.ramiismail.com/,"LTPF is Rami Ismail's recurring advice column on the development, design, and business of making games.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1663627233826-logo_transparent--1-.ico?width=75&height=75&resize=contain,False,['gaming'],6647,True,,False,781053,False,,,,#C5322E,en,1663627235,6647,26,1703548527,False,1d4bb3e3-35af-4505-abdc-7b7287412640
Brain&Brain,https://blog.brainandbrain.co/,"Behind-the-scenes of indie game development, from the Ozark-based duo best known for their quiet adventures.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660166755437-mark.png?width=75&height=75&resize=contain,False,['gaming'],1557,True,,False,8670812,False,,,,#6AD7FC,en,1660166757,1557,2,1705082896,False,13cdf868-08e4-4f55-9249-24f622920cfc
Read Only Memo,https://www.readonlymemo.com/,"Videogame emulation news and exclusive interviews, from the aesthetics of razor sharp scanlines to the wild technical challenges of making yesterday's games run on tomorrow's hardware.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705043234624-rom-icon.jpg?width=75&height=75&resize=contain,False,['gaming'],1354,True,0,True,6192091,False,,,,#4337ab,en,1705006696,1354,20,1706441440,True,3967b693-ded3-4ab0-9ee3-22c1186e7f16
Worlds Across the Causeway,https://worlds.causewaystudios.com/,"Indie studio making narrative-centered games | See strange sights, hear tall tales, and explore the mysterious unknown with us",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1689876881246-Icon.png?width=75&height=75&resize=contain,False,['gaming'],86,True,105,True,387606690,False,,,,#F0AA36,en,1689876882,1136,201,1706833157,False,1346bc82-bee4-490d-9d85-ee06854c80fc
D&D ReinKarnated,https://www.dndreinkarnated.com/,"D&D ReinKarnated. Maps, scenery, tokens, and homebrew adventures for your Dungeons & Dragons VTT adventures",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1702646098217-277574798_100562422625138_1148125274561166226_n.png?width=75&height=75&resize=contain,False,['gaming'],1080,True,,False,10498866,False,,,,#df0202,en,1702646099,1080,1,1706744679,True,ff36cf76-7df2-48c0-86de-82e7b3784fbb
Superjump,https://www.superjumpmagazine.com/,Award-winning online magazine celebrating video games and their creators.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660471522708-SJ_Circle.png?width=75&height=75&resize=contain,False,['gaming'],512,True,43,True,102746,False,,,,#000000,en,1660471524,944.8,2,1706765907,True,f9ba16b5-13a2-4805-8547-c9fef000fcba
ERREUR 2000,https://erreur2000.info/,"Votre RDV hebdomadaire pour tout comprendre de l'actualité de Twitch et autres. News, outils pratiques, découverte de créateurs et créatrices qui montent !",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660150453778-Erreur 2000 square.png?width=75&height=75&resize=contain,False,['gaming'],844,True,,False,19213262,False,,,,#a333ff,fr,1660150455,844,7,1706684437,True,b1be7be3-672b-44cb-868b-e27813449599
Astrolabe,https://astrolabe.aidanmoher.com/,"Video games, books, & video game books",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705546528058-astrolabe-favicon.png?width=75&height=75&resize=contain,False,['gaming'],695,True,,False,1448245,False,,,,#1e3d58,en,1705546529,695,0,1705522749,True,1c1ca31a-0998-4635-a6dd-a6044ee3d380
Games Revealed,https://www.gamesrevealed.com/,"Revealing your next favorite video game, accessory, or device with the best reviews, news, guides, and newsletters centered around the Steam deck and PC gaming.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1675827475919-1675823108478-2.png?width=75&height=75&resize=contain,False,['gaming'],564,True,,False,128661568,False,,,,#8256FF,en,1675823109,564,7,1691457609,True,a936b4de-9dbf-433c-bfb0-fa2cfbee151d
Superlevel,https://www.superlevel.de/,Weekly newsletter featuring independent and diverse games journalism (in German).,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660340364019-superlogo.png?width=75&height=75&resize=contain,False,['gaming'],443,True,,False,1186259,False,,,,#3f89c5,de,1660340366,443,4,1706169650,False,c959d4ff-968f-4cf8-a364-656ce25b1a48
Backlog,https://www.backlogmag.com/,A videogame newsletter for people who are behind on videogames,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1706183150507-Backlog_temp_Large.png?width=75&height=75&resize=contain,False,['gaming'],372,True,,False,6579580,False,,,,#4682B4,en,1706035076,372,3,1706641244,True,0dcbdc50-8a98-4430-87c9-b9b1f6835253
Clayplug,https://www.clayplug.com/,Old School RuneScape Botting's #1 Learning Resource,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1694115384025-logo.jpeg?width=75&height=75&resize=contain,False,['gaming'],8,True,10,True,9999992,False,,,,#ca6500,en,1694115385,108,0,1695257427,True,6b9f65e1-d79d-4e68-bd75-09de210b5e06
Void0,https://void0media.com/,Void0 curates the latest video game news from across the web into a easy to digest weekly newsletter. I write about how video games make players feel and explore the many faces of video games.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1661384648513-logo_icon_v01.png?width=75&height=75&resize=contain,False,['gaming'],75,True,0,True,59810108,False,,,,#4080ef,en,1661384649,75,10,1681127721,True,e2d5f13d-ad66-4a33-b076-16c089994063
Sim Racing Info,https://simracinginfo.com/,"News, Tutorials and Info on Sim Racing",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1675954587191-simracinginfo-logo-red-square.png?width=75&height=75&resize=contain,False,['gaming'],72,True,0,True,84793106,False,,,,#FF4444,en,1675954588,72,9,1706890514,True,df5ab938-620a-441d-9a4b-109fd14795f9
Tipyx,https://tipyx.ghost.io/,"Chaque semaine, l'actu du jeu vidéo résumée, et même plus !",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693922207611-Tipyx2023.png?width=75&height=75&resize=contain,False,['gaming'],51,True,,False,10499946,False,,,,#a11717,fr,1693922208,51,3,1706173201,True,c09b3706-ee84-4f88-80b4-cdfa14df4a88
RENZ,https://www.renz.is/,"Dancing between game development and personal development, one pixel and goal at a time",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693416577514-BlackFontLogo-ShortVersion.png?width=75&height=75&resize=contain,False,['gaming'],39,True,,False,10499959,False,,,,#754F3C,en,1680021665,39,4,1704638748,True,10e803ae-3e21-4fca-9835-5c902eca2dde
DeWebNer,https://dewebner.ghost.io/,"Le blog d'astuce de stream du streamer débrouillard, découvre les astuces et comment améliorer ton expérience de streamer !",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664287251600-love.png?width=75&height=75&resize=contain,False,['gaming'],25,True,,False,66284111,False,,,,#7c2e7e,fr,1664286843,25,4,1667833726,True,8fd3f104-1a46-4aec-b707-0a31da8e6a1b
Pixels for Breakfast,https://www.pixelsforbreakfast.net/,"A collection of game reviews, podcasts, essays, and culture with a focus on indie games. The most important meal of the day.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1706061473653-4fddb3d6-ce43-4bf3-8012-074fe0ab8edf.webp?width=75&height=75&resize=contain,False,['gaming'],15,True,,False,3339022,False,,,,#14790d,en,1697880050,15,0,1705650995,True,2ad97776-9cad-477a-8320-c07c4f7f76de
Wardrome,https://wardrome.com/,"WarDrome is a free strategic management game set in a space opera atmosphere. Real time combats, development, economy and role play are the key aspects of the game. ",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1672912493134-logoHome.jpeg?width=75&height=75&resize=contain,False,['gaming'],11,True,,False,7737824,False,,,,#001aff,en,1670451513,11,2,1695627599,False,ec6cd11e-d2e9-4d38-b83a-7fb6e7b29fb4
Introvert Gaming,https://www.introvertgaming.com/,Gaming news publication,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1686657826101-G--1--1.png?width=75&height=75&resize=contain,False,['gaming'],11,True,0,True,9999989,False,,,,#0b1c25,en,1686657827,11,0,1702138636,True,95916879-ae3d-4271-91dc-89f2192885f8
Reno Project,https://renoproject.org/,"Everything you ever wanted to know about 1980's and 1990's virtual worlds. Including Lucasfilm's Habitat, WorldsAway and beyond. Archivists rule!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699289121434-toad.jpg?width=75&height=75&resize=contain,False,['gaming'],5,True,,False,21635394,False,,,,#9146FF,en,1699289122,5,4,1706653535,False,b09d68fc-3e8b-473d-a9a0-9d1542152eb7
Arraka,https://www.arraka.com/,We talk about games and anime.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1680369056794-Artboard-12.png?width=75&height=75&resize=contain,False,['gaming'],2,True,0,True,9999998,False,,,,#ffffff,en,1680369057,2,1,1680122086,True,5d11aef7-38f0-4c85-abb4-2369085627c3
